TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
GALG11;99,29;9,31;1,00;1.393.799,60;0,02;;;558.924.528,85;6.245,00;Ativa;
HBCR11;108,40;10,31;1,26;86.930,80;3,46;;;52.849.817,76;27,00;Ativa;
VISC11;100,50;5,39;0,87;2.156.942,63;2,91;-8,79;-2,19;2.051.142.632,74;202.633,00;Ativa;
FLCR11;101,99;12,86;1,02;349.057,48;3,81;;;50.185.828,63;842,00;Ativa;
JTPR11;2.517,00;0,00;24,51;;7,65;;;22.046.026,60;8,00;Ativa;
HGIC11;106,52;7,55;1,00;474.044,81;8,90;;;27.510.587,86;235,00;Ativa;
SHPH11;806,10;3,41;0,91;79.791,65;0,64;-6,57;-5,82;542.257.564,45;2.923,00;Passiva;
BLMO11;26.004,50;0,00;0,99;147.358,67;4,99;;;99.413.657,94;91,00;Ativa;
ARCT11;107,33;18,46;1,06;1.209.271,45;0,15;;;252.891.029,37;8.299,00;Ativa;
GGRC11;115,81;8,06;0,88;1.322.605,20;1,78;6,61;-4,39;1.023.742.704,72;95.291,00;Ativa;
CXCO11;81,24;7,26;0,84;222.368,88;1,10;;;377.734.785,34;13.085,00;Ativa;
OUFF11;67,52;11,55;0,83;142.263,73;0,81;;;147.821.445,27;8.889,00;Ativa;
KNRE11;1,52;4,62;0,81;11.700,48;8,50;;-46,07;34.758.255,84;6.158,00;Ativa;
CRFF11;66,46;7,93;0,75;59.439,62;2,72;;;61.069.208,29;1.807,00;Ativa;
FIIP11B;164,00;8,40;0,82;85.395,20;2,83;-0,90;-4,19;185.759.454,51;8.648,00;Passiva;
MMPD11;0,00;0,00;;;103,12;;;51.444.850,08;48,00;Ativa;
RECT11;69,89;9,94;0,71;721.914,35;4,24;;;800.756.132,40;79.992,00;Ativa;
TRNT11;109,35;4,48;0,54;15.735,77;0,60;-18,17;-17,54;796.881.453,61;816,00;Passiva;
CPFF11;71,78;11,97;0,91;1.073.552,93;0,33;;;432.234.278,18;13.323,00;Ativa;
DAMT11B;0,63;0,00;6,30;7.990,53;0,28;;;12.098.740,00;481,00;Passiva;
CFHI11;0,00;0,00;;;43,53;;;81.366.159,34;53,00;Ativa;
TELD11;0,00;0,00;;;4,65;;;9.719.049,77;2,00;Ativa;
TRXF11;101,40;7,98;0,99;2.121.982,05;3,19;;;738.428.430,97;39.634,00;Ativa;
EGYR11;1,73;0,00;0,14;4.709,53;0,00;;;93.161.472,56;42,00;Passiva;
REIT11;500,13;14,65;1,03;2.082,00;50,13;;-27,08;12.710.575,48;61,00;Ativa;
HAAA11;95,80;6,08;1,02;1.268,46;0,66;;;324.092.881,44;136,00;Ativa;
RBED11;120,00;9,54;0,85;181.845,58;2,81;-0,84;;285.897.124,09;12.112,00;Ativa;
CACR11;107,45;12,62;1,06;326.808,80;8,27;;;153.985.328,53;3.486,00;Ativa;
VRTA11;105,00;11,05;1,08;2.252.123,60;1,92;5,23;-4,82;1.057.669.059,51;93.790,00;Ativa;
KINP11;14,00;7,99;1,92;5.567,15;7,03;;;52.276.733,66;550,00;Ativa;
BMII11;0,00;0,00;;;0,19;;;69.595.618,54;12,00;Ativa;
AFOF11;88,00;9,28;0,84;159.318,33;7,84;;;72.409.198,26;2.421,00;Ativa;
LKDV11;0,00;0,00;;;18,04;;;53.596.476,25;69,00;Ativa;
TRXB11;120,85;7,40;1,26;783.145,36;3,45;;;240.321.791,69;169,00;Passiva;
SEQR11;76,75;9,54;0,80;90.196,78;2,82;;;154.396.953,32;1.745,00;Ativa;
HGFF11;76,00;7,67;0,83;596.025,20;3,42;;;262.480.054,46;9.276,00;Ativa;
MAXR11;84,03;9,68;0,70;117.210,38;1,18;-10,82;-8,59;135.304.378,59;4.199,00;Passiva;
RBHY11;102,83;12,87;1,06;393.675,83;8,76;;;153.973.051,71;1.992,00;Ativa;
BRIM11;1.170,83;3,41;1,04;109.219,50;3,16;;;139.313.553,17;196,00;Ativa;
SEED11;0,00;0,00;;;1,61;;;169.300.269,83;88,00;Ativa;
CCRF11;98,67;5,26;0,97;4.207,35;5,05;;;159.507.086,30;39,00;Ativa;
VSEC11;88,95;8,53;0,89;466,57;39,66;;;6.261.495,87;79,00;Ativa;
VLOL11;93,48;5,40;0,90;138.379,98;1,24;1,07;-0,53;184.615.196,91;4.118,00;Passiva;
JSAF11;88,11;1,60;0,90;54.502,10;31,60;;;153.943.965,41;1.744,00;Ativa;
LPLP11;0,00;0,00;;;0,96;;;49.624.125,80;2,00;Ativa;
RZTR11;104,00;9,44;1,03;3.496.473,18;9,76;;;1.114.567.220,92;41.994,00;Ativa;
SJAU11;115,00;0,00;1,15;11.960,00;0,33;;;790.980.735,95;125,00;Passiva;
FATN11;101,98;8,12;1,01;17.057,41;1,19;;;82.067.157,50;357,00;Ativa;
SHDP11B;0,00;0,00;;;1,17;-10,61;;2.016.728.731,33;3,00;Passiva;
RCFF11;100,79;2,80;1,05;150.356,33;17,72;;;30.981.067,97;78,00;Ativa;
EDGA11;22,51;6,95;0,34;40.168,20;1,17;-14,51;-22,28;252.486.482,69;6.819,00;Passiva;
